judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge__cj__court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Rachel Freier,Supreme Court Justice,,2024-01-01,2035-12-31,Kings County,Kings County Supreme Court,2024,,,,,,
Hector D Lasalle,Supreme Court Justice,"PRES JUS, AP DIV",2023-01-01,2036-12-31,Suffolk County,Appellate Div 2nd Dept/Chamber,2009,,,,,,
Nicole Mcgregormundy,Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2031-12-31,Queens County,Kings County Supreme Court,2023,,,,,,
Cheryl Gonzales,,,2023-01-01,2024-12-31,Kings County,Kings County Supreme Court,2023,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Nancy M Bannon,Supreme Court Justice,,2018-01-01,2028-12-31,New York County,New York County Supreme Court,2018,,,,,,
Charles D Wood,Supreme Court Justice,,2024-01-01,2037-12-31,Westchester County,Westchester County Supreme Ct,2010,,,,,,
Robert S Ondrovic,Supreme Court Justice,,2021-01-01,2030-12-31,Westchester County,Westchester County Supreme Ct,2021,,,,,,
Philippe Solages,Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2028-04-28,Nassau County,Nassau County Supreme Court,2021,,,,,,
David Gandin,Supreme Court Justice,,2022-01-01,2035-12-31,Ulster County,Ulster County Supreme Court,2022,,,,,,
Bahaati E Pitt,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,New York County,Appellate Division - 1st Dept,2020,,,,,,
Denise L Sher,,,2024-06-06,2024-12-31,Nassau County,Queens County Supreme Court,2006,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Gary F Knobel,,,2021-01-01,2023-12-31,Nassau County,Nassau County Supreme Court,2021,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Joseph H Lorintz,Supreme Court Justice,,2017-01-01,2028-12-31,Nassau County,Nassau County Supreme Court,2017,,,,,,
Ellen M Spodek,Supreme Court Justice,,2023-01-01,2027-12-31,Kings County,Kings County Supreme Court,2008,,,,,,
Carolyn Walker-Diallo,Supreme Court Justice,,2022-01-01,2035-12-31,Kings County,Kings County Supreme Court,2022,,,,,,
George R Villegas,,,2022-01-01,2023-12-31,Bronx County,Bronx County Supreme Court,2008,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Richard Velasquez,Supreme Court Justice,,2023-01-01,2034-12-31,Kings County,Kings County Supreme Court,2009,,,,,,
Caroline Piela,Supreme Court Justice,,2024-01-01,2037-12-31,Kings County,Kings County Supreme Court,2024,,,,,,
Carmen V St George,Court of Claims Judge,SUP CT JUSTICE,2017-07-06,2023-07-31,Suffolk County,Court of Claims,2017,,,,,,
James P Murphy,Supreme Court Justice,DEP CHF ADMNV JGE CTS,2019-01-01,2028-12-31,Onondaga County,Onondaga County Supreme Court,2005,,,,,,
Rebecca A Slezak,Supreme Court Justice,,2020-01-01,2033-12-31,Montgomery County,Montgomery County Supreme Ct,2020,,,,,,
Timothy S Driscoll,Supreme Court Justice,"SUP CT JUS, DST 10 AT",2022-01-01,2035-12-31,Nassau County,Nassau County Supreme Court,2008,,,,,,
John T Ellis,Supreme Court Justice,,2013-01-01,2026-12-31,Franklin County,Schenectady County Supreme Ct,2013,,,,,,
Anna Culley,Supreme Court Justice,,2015-01-01,2028-12-31,Queens County,Queens County Supreme Court,2015,,,,,,
Naita A Semaj,Supreme Court Justice,,2022-01-01,2035-12-31,Bronx County,Bronx County Supreme Court,2022,,,,,,
Rachel A Adams,,,,,Kings County,Kings County Supreme Court,2012,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Joseph J Jr Risi,Court of Claims Judge,,2019-05-07,2026-12-31,Queens County,Queens County Supreme Court,2017,,,,,,
Aaron Maslow,Supreme Court Justice,,2023-01-01,2026-12-31,Richmond County,Kings County Supreme Court,2023,,,,,,
Richard E Sise,Court of Claims Judge,"PRES JGE, CT CLAIMS",2022-01-23,2026-12-31,Albany County,Court of Claims,2000,,,,,,PJ/COC
Charles M Troia,Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2022-12-31,Richmond County,Richmond Cnty Supreme Ct-Crim,2020,,,,,,
John M Curran,Supreme Court Justice,"ASC JUS, AP DIV",2019-01-01,2029-12-31,Erie County,Appellate Div 4th Dept/Chamber,2004,,,,,,
Dianne N Freestone,Supreme Court Justice,,2020-01-01,2030-12-31,Saratoga County,Saratoga County Supreme Court,2020,,,,,,
Laurence L Love,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Queens County,New York County Supreme Court,2019,,,,,,
Helen Voutsinas,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Nassau County,Appellate Division - 2nd Dept,2019,,,,,,
James Dauguste,Supreme Court Justice,,2017-01-01,2030-12-31,New York County,New York County Supreme Court,2017,,,,,,
Mojgan C Lancman,Supreme Court Justice,,2021-01-01,2034-12-31,Queens County,Queens County Supreme Court,2021,,,,,,
Joel M Cohen,Court of Claims Judge,SUP CT JUSTICE,2018-07-02,2026-06-30,New York County,New York County Supreme Court,2018,,,,,,
Genine D Edwards,Supreme Court Justice,ADMNV JGE,2016-01-01,2029-12-31,Kings County,Kings County Supreme Court,2016,,,,,,AJ/KG/SUP/CV
Cheryl Joseph,Court of Claims Judge,SUP CT JUSTICE,2015-05-05,2022-12-31,Suffolk County,Suffolk County Supreme Court,2015,,,,,,SUFF/SJ/MATRIMONIAL
Christina L Ryba,Supreme Court Justice,,2016-01-01,2029-12-31,Albany County,Albany County Supreme Court,2016,,,,,,3/SJ/SUPREME
Troy K Webber,Supreme Court Justice,"ASC JUS, AP DIV",2017-01-01,2028-12-31,New York County,Appellate Division - 1st Dept,2003,,,,,,
Paul Hensley,Supreme Court Justice,,2025-01-01,2031-12-31,Suffolk County,Suffolk County Supreme Court,2025,,,,,,
Richard M Platkin,Court of Claims Judge,SUP CT JUSTICE,2014-08-01,2023-07-31,Albany County,Court of Claims,2006,,,,,,
Edward A Pace,,,,,Erie County,Erie County Supreme Court,2022,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Daniel J Furlong,Supreme Court Justice,,2017-01-01,2028-12-31,Erie County,Erie County Supreme Court,2017,,,,,,
Christopher P Baker,Supreme Court Justice,,2020-01-01,2033-12-31,Chemung County,Chemung County Supreme Ct(M-B),2020,,,,,,6/SJ/SUPREME
George Nolan,Supreme Court Justice,,2019-01-01,2028-12-31,Suffolk County,Suffolk County Supreme Court,2019,,,,,,
Andrew S Borrok,Supreme Court Justice,,2018-01-01,2031-12-31,New York County,New York County Supreme Court,2018,,,,,,
Joanne Quinones,Supreme Court Justice,"SUP CT JUS, DST 2 AT",2024-01-01,2037-12-31,Kings County,Kings County Supreme Court,2022,,,,,,
Julie Denton,Supreme Court Justice,,2023-01-01,2036-12-31,Oneida County,Oneida County Supreme Court,2023,,,,,,5/SJ/FORECLOSURES
Stacy Fleisher-Bennett,Supreme Court Justice,,2023-01-01,2036-12-31,Nassau County,Nassau County Supreme Court,2023,,,,,,
William Ramseier,Supreme Court Justice,,2023-01-01,2036-12-31,Jefferson County,Jefferson County Supreme Court,2023,,,,,,
Joan B Lefkowitz,,,,,Westchester County,Westchester County Supreme Ct,1991,,,"SUP CT JUS, CERT",2020-01-01,2025-12-31,9/SJ/FIDUCIARY_GUARD
Shlomo S Hagler,Supreme Court Justice,"SUP CT JUS, DST 1 PJAT",2013-01-01,2026-12-31,New York County,New York County Supreme Court,2013,,,,,,
Myrna Socorro,Supreme Court Justice,,2023-01-01,2033-12-31,Bronx County,Bronx County Sup Ct Civil Term,2023,,,,,,
Bernadette T Clark,,,2020-01-01,2023-12-31,Oneida County,Oneida County Supreme Court,2006,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Michael R Cuevas,,,2020-01-01,2023-12-31,Schenectady County,Schenectady County Supreme Ct,2020,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Joseph A Santorelli,Supreme Court Justice,,2012-01-01,2025-12-31,Suffolk County,Suffolk County Supreme Court,2012,,,,,,
Alfred C Graf,Supreme Court Justice,,2025-01-01,2028-12-31,Suffolk County,Suffolk County Supreme Court,2025,,,,,,
Jenny Rivera,Associate Judge COA,,2013-01-15,2027-01-14,New York County,Court of Appeals - Chambers,2013,,,,,,
Paul L Alpert,Supreme Court Justice,,2022-01-01,2033-12-31,Bronx County,Bronx County Sup Ct Civil Term,2022,,,,,,
Gretchen Walsh,Supreme Court Justice,"SUP CT JUS, DST 9 AT",2016-01-01,2029-12-31,Westchester County,Westchester County Supreme Ct,2016,,,,,,
Gregg Roth,Supreme Court Justice,,2025-01-01,2037-12-31,Nassau County,Nassau County Supreme Court,2025,,,,,,
Colleen D Duffy,Supreme Court Justice,"ASC JUS, AP DIV",2025-01-01,2030-12-31,Westchester County,Appellate Div 2nd Dept/Chamber,2010,,,,,,
Nestor Diaz,Supreme Court Justice,,2023-01-01,2033-12-31,Queens County,Queens County Supreme Court,2023,,,,,,
William A Viscovich,Supreme Court Justice,,2017-01-01,2030-12-31,Queens County,Queens County Supreme Court,2017,,,,,,
Kevin R Bryant,Supreme Court Justice,,2022-01-01,2035-12-31,Ulster County,Ulster County Supreme Court,2022,,,,,,
Raymond P Fernandez,Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2026-06-30,Bronx County,Bronx County Supreme Court,2023,,,,,,
Ira H Margulis,,,,,Queens County,Queens County Supreme Court,2012,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Benjamin R Barbato,,,,,Bronx County,Bronx County Sup Ct Civil Term,2019,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Robin Sheares,Supreme Court Justice,,2023-01-01,2031-12-31,Kings County,Kings County Supreme Court,2023,,,,,,
Rolf M Thorsen,Supreme Court Justice,,2024-01-01,2031-12-31,Rockland County,Rockland County Supreme Court,2024,,,,,,
Robert A Schwartz,Court of Claims Judge,SUP CT JUSTICE,2018-08-27,2027-08-26,Nassau County,Nassau County Supreme Court,2015,,,,,,
Carolyn Genovesi,Court of Claims Judge,,2024-06-06,2031-12-31,Kings County,Nassau County Supreme Court,2024,,,,,,
Mark Rose,Supreme Court Justice,,2023-01-01,2036-12-31,Oneida County,Oneida County Supreme Court,2023,,,,,,
Valerie B Nelson,,"ASC JUS, AP DIV, TPCT",,,Queens County,Appellate Division - 2nd Dept,2005,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,
John J Delmonte,,,2024-02-14,2024-12-31,Erie County,Supreme Ct-Civil,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Christopher G Quinn,Supreme Court Justice,,2020-01-01,2025-12-31,Nassau County,Nassau County Supreme Court,2020,,,,,,
Steven Z Mostofsky,Supreme Court Justice,,2020-01-01,2027-12-31,Kings County,Kings County Supreme Court,2020,,,,,,
Lorna Mcallister,Supreme Court Justice,,2023-01-01,2032-12-31,Kings County,Kings County Supreme Court,2023,,,,,,
Christopher J Mccarthy,Court of Claims Judge,,2014-01-01,2022-12-31,Albany County,Court of Claims,2006,,,,,,
Connie Morales,Supreme Court Justice,,2023-01-01,2036-12-31,Bronx County,Bronx County Sup Ct Civil Term,2023,,,,,,
Ellen Tobin,Court of Claims Judge,SUP CT JUSTICE,2023-07-10,2026-06-30,Nassau County,Madison County Supreme Ct(M-B),2023,,,,,,
David A Weinstein,Court of Claims Judge,SUP CT JUSTICE,2011-04-11,2020-03-13,Albany County,Court of Claims,2011,,,,,,
Michael Norris,Supreme Court Justice,,2025-01-01,2038-12-31,Niagara County,Supreme Ct-Civil,2025,,,,,,
Desmond A Green,,,,,Richmond County,Richmond Cnty Supreme Ct-Civil,2014,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,
Donna-Marie E Golia,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens County,Queens County Supreme Court,2020,,,,,,
Joseph Zayas,Supreme Court Justice,CHF ADMNV JGE CTS,2017-01-01,2030-12-31,Queens County,Queens County Supreme Court,2012,,,,,,
Christopher Robles,Supreme Court Justice,,2025-01-01,2038-12-31,Kings County,Kings County Supreme Court,2025,,,,,,
Kelly Vacco,Supreme Court Justice,,2023-01-01,2036-12-31,Erie County,Erie County Supreme Court,2023,,,,,,
Elizabeth Aherne,Supreme Court Justice,,2022-01-01,2035-12-31,Tompkins County,Tompkins County Supr Ct(M-B),2022,,,,,,
Peter M Rayhill,Supreme Court Justice,,2024-01-01,2031-12-31,Oneida County,Oneida County Supreme Court,2024,,,,,,
William F Perry Iii,Supreme Court Justice,,2018-01-01,2031-12-31,New York County,New York County Supreme Court,2018,,,,,,
Denis J Butler,Supreme Court Justice,,2022-01-01,2034-12-31,Queens County,Queens County Supreme Court,2008,,,,,,
Gerald W Connolly,Court of Claims Judge,ADMNV JGE,2014-08-01,2023-07-31,Albany County,Albany County Supreme Court,2006,,,,,,AJ/03/SUP
Frederick D R Sampson,,,,,Queens County,Queens County Supreme Civil,1995,,,"SUP CT JUS, CERT",2020-01-01,2025-12-31,
Frank Tinari,,,2023-01-01,2024-12-31,Suffolk County,Suffolk County Supreme Court,2023,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Peter J Kelly,Supreme Court Justice,,2024-01-01,2028-12-31,Queens County,Nassau County Supreme Court,2024,,,,,,
Andrew G Ceresia,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2030-12-31,Rensselaer County,Rensselaer County Supreme Ct,2017,,,,,,
Fernando M Camacho,Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,Suffolk County,Suffolk County Supreme Court,2008,,,,,,
Lisa A Grey,Supreme Court Justice,,2021-01-01,2034-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2021,,,,,,
Michelle A Johnson-Bell,Supreme Court Justice,ADMNV JGE,2021-01-01,2034-12-31,Queens County,Queens County Supreme Court,2021,,,,,,AJ/QN/SUP/CR
Tracy A Catapano-Fox,Supreme Court Justice,,2021-01-01,2034-12-31,Queens County,Queens County Supreme Court,2021,,,,,,
Shirley Troutman,Associate Judge COA,,2022-01-12,2029-12-31,Erie County,Court of Appeals - Chambers,2010,,,,,,
Cynthia S Kern,Supreme Court Justice,"ASC JUS, AP DIV",2025-01-01,2032-12-31,New York County,Appellate Division - 1st Dept,2011,,,,,,
Alan Schiff,Supreme Court Justice,,2025-01-01,2038-12-31,Queens County,,2025,,,,,,
Danielle M Peterson,Supreme Court Justice,,2022-01-01,2035-12-31,Nassau County,Nassau County Supreme Court,2022,,,,,,
Raymond L Bruce,,,,,Bronx County,Bronx County Supreme Court,2016,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,
Lynn M Keane,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2018-01-01,2031-12-31,Erie County,Erie County Supreme Court,2018,,,,,,
Randy Sue Marber,Supreme Court Justice,,2021-01-01,2030-12-31,Nassau County,Nassau County Supreme Court,2007,,,,,,
Paul E Davenport,Supreme Court Justice,,2024-01-01,2032-12-31,Schenectady County,Schenectady County Supreme Ct,2024,,,,,,
Jeanette Rodriguez-Morick,Court of Claims Judge,SUP CT JUSTICE,2017-03-18,2026-03-17,Bronx County,Court of Claims,2015,,,,,,
Danielle M Fogel,Supreme Court Justice,,2022-01-01,2035-12-31,Onondaga County,Oneida County Supreme Court,2022,,,,,,5/SJ/SUPREME
Sherri Eisenpress,Supreme Court Justice,,2023-01-01,2036-12-31,Orange County,Rockland County Supreme Court,2023,,,,,,
Lizbeth Gonzalez,,"ASC JUS, AP DIV, TPCT",,,Bronx County,Appellate Division - 1st Dept,2016,,,"ASC JUS, AP DIV, TPCT",2023-01-01,2028-12-31,
Kenneth C Holder,Supreme Court Justice,,2022-01-01,2029-12-31,Queens County,Queens County Supreme Court,2008,,,,,,
Lizette Colon,Supreme Court Justice,,2021-01-01,2034-12-31,Kings County,Kings County Supreme Court,2021,,,,,,
Anne Minihan,Supreme Court Justice,ADMNV JGE,2023-01-01,2036-12-31,Westchester County,Westchester County Supreme Ct,2023,,,,,,AJ/09/SUP
Joy Campanelli,Supreme Court Justice,,2022-01-01,2035-12-31,Kings County,Kings County Supreme Court,2022,,,,,,
Adam W Silverman,Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2026-06-30,Rensselaer County,Rensselaer County Supreme Ct,2020,,,,,,
Paula L Feroleto,Supreme Court Justice,,2019-01-01,2026-12-31,Erie County,Erie County Supreme Court,2005,,,,,,
David J Gugerty,Supreme Court Justice,,2020-01-01,2032-12-31,Nassau County,Nassau County Supreme Court,2020,,,,,,
Mario F Mattei,Supreme Court Justice,,2021-01-01,2026-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2021,,,,,,
Eddie Loren Williams,Supreme Court Justice,,2021-01-01,2034-12-31,Orange County,Orange County Supreme Court,2021,,,,,,9/SJ/CITY
Wyatt N Gibbons,Supreme Court Justice,,2020-01-01,2033-12-31,Queens County,Queens County Supreme Court,2020,,,,,,
Jean Marie Westlake,Supreme Court Justice,,2024-01-01,2037-12-31,Onondaga County,Kings County Supreme Court,2024,,,,,,
Anna Grimaldi,Court of Claims Judge,,2024-06-06,2026-06-30,Nassau County,Bronx County Supreme Court,2024,,,,,,
Bernice D Siegal,,,,,Queens County,Queens County Supreme Court,2009,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Wavny Toussaint,Supreme Court Justice,"SUP CT JUS, DST 2 PJAT",2015-01-01,2027-12-31,Kings County,Kings County Supreme Court,2015,,,,,,
Ricahrd Kupferman,Supreme Court Justice,,2023-01-01,2036-12-31,Saratoga County,Saratoga County Supreme Court,2023,,,,,,
Patrick J O'sullivan,Supreme Court Justice,,2022-01-01,2030-12-31,Madison County,Madison County Supreme Ct(M-B),2022,,,,,,
Daniel J Doyle,Supreme Court Justice,,2021-01-01,2033-12-31,Monroe County,Monroe County Supreme Court,2007,,,,,,7/SJ/SUPREME
Thomas Marcelle,Supreme Court Justice,,2023-01-01,2036-12-31,Albany County,Albany County Supreme Court,2023,,,,,,
Ta-Tanisha D James,Supreme Court Justice,"SUP CT JUS, DST 1 AT",2021-01-01,2034-12-31,New York County,New York County Supreme Court,2021,,,,,,
Ronald Castorina,Supreme Court Justice,,2022-01-01,2035-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2022,,,,,,
Lee A Mayersohn,Supreme Court Justice,,2023-01-01,2025-12-31,Queens County,Queens County Supreme Court,2009,,,,,,
Glenn A Murphy,Court of Claims Judge,SUP CT JUSTICE,2015-06-17,2022-12-31,Suffolk County,Suffolk County Supreme Court,2015,,,,,,
Carmen Velasquez,Supreme Court Justice,,2015-01-01,2028-12-31,Queens County,Queens County Supreme Court,2015,,,,,,
Stephanie Saunders,Court of Claims Judge,,2024-07-11,2030-12-31,Erie County,Court of Claims,2022,,,,,,
Thomas Rademaker,Supreme Court Justice,,2020-01-01,2033-12-31,Nassau County,Nassau County Supreme Court,2020,,,,,,
Carol R Sharpe,Supreme Court Justice,,2021-01-01,2029-12-31,New York County,New York County Supreme Court,2021,,,,,,
Frank A Sedita Iii,Supreme Court Justice,,2016-01-01,2029-12-31,Niagara County,Erie County Supreme Court,2016,,,,,,
Jeffrey Pearlman,Court of Claims Judge,,2024-07-13,2031-12-31,New York County,Kings County Supreme Court,2024,,,,,,
Sabrina Kraus,Supreme Court Justice,,2023-01-01,2036-12-31,New York County,New York County Supreme Court,2023,,,,,,
Mary V Rosado,,,,,New York County,New York County Supreme Court,2019,,,"SUP CT JUS, CERT",2020-01-01,2025-12-31,
Mark C Dillon,Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,Westchester County,Appellate Div 2nd Dept/Chamber,2000,,,,,,
Rupert Barry,,,2024-06-06,2024-12-31,Kings County,Kings County Supreme Court,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
James Vazzana,Supreme Court Justice,,2023-01-01,2036-12-31,Monroe County,Monroe County Supreme Court,2023,,,,,,
John Katsanos,Supreme Court Justice,,2025-01-01,2037-12-31,Queens County,Queens County Supreme Court,2024,,,,,,
Sam L Valleriani,Supreme Court Justice,,2021-01-01,2034-12-31,Monroe County,Monroe County Supreme Court,2021,,,,,,
Joseph C Pastoressa,Supreme Court Justice,,2012-01-01,2025-12-31,Suffolk County,Suffolk County Supreme Court,2004,,,,,,
Linda J Christopher,,"ASC JUS, AP DIV, TPCT",2011-01-01,2023-12-31,Rockland County,Appellate Division - 2nd Dept,2011,,,"ASC JUS, AP DIV, TPCT",2024-01-01,2029-12-31,
Lawrence Mackey,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2026-12-31,Albany County,Albany County Supreme Court,2017,,,,,,
Tanya R Kennedy,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2029-12-31,New York County,Appellate Division - 1st Dept,2016,,,,,,
Eileen C Daly,Supreme Court Justice,,2022-01-01,2034-12-31,Nassau County,Nassau County Supreme Court,2022,,,,,,
Andrew J Cohen,Supreme Court Justice,,2021-01-01,2034-12-31,Bronx County,Bronx County Sup Ct Civil Term,2021,,,,,,
Erin Skinner,Supreme Court Justice,,2025-01-01,2038-12-31,Monroe County,Monroe County Supreme Court,2025,,,,,,
Jodi Orlow-Mackoff,Supreme Court Justice,,2018-01-01,2031-12-31,Queens County,Queens County Supreme Court,2018,,,,,,
Mary Scattaretico-Naber,Supreme Court Justice,,2025-01-01,2029-12-31,Orange County,Westchester County Supreme Ct,2025,,,,,,
Francisco Calderon,Court of Claims Judge,,2024-07-03,2027-08-23,Albany County,Court of Claims,2024,,,,,,
Francis A Kahn Iii,Court of Claims Judge,SUP CT JUSTICE,2019-04-29,2028-04-28,New York County,New York County Supreme Court,2018,,,,,,
Julian D Schreibman,Supreme Court Justice,,2018-01-01,2031-12-31,Ulster County,Ulster County Supreme Court,2018,,,,,,
Keisha Alleyne,Supreme Court Justice,,2025-01-01,2038-12-31,Kings County,Kings County Supreme Court,2025,,,,,,
Matthew J Demic,,ADMNV JGE,,,Kings County,Kings County Supreme Court,1996,,,"ADMNV JUDGE, CERT",2023-01-01,2028-12-31,AJ/KG/SUP/CR
Elizabeth A Garry,Supreme Court Justice,"PRES JUS, AP DIV",2021-01-01,2032-12-31,Albany County,Appellate Div 3rd Dept/Chamber,2007,,,,,,
Aletha Fields,Court of Claims Judge,SUP CT JUSTICE,2023-08-01,2032-07-31,Suffolk County,Rensselaer County Supreme Ct,2023,,,,,,
Julio Iii Rodriguez,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York County,Appellate Division - 1st Dept,2016,,,,,,
Kenneth P Sherman,Supreme Court Justice,,2014-01-01,2027-12-31,Kings County,Kings County Supreme Court,2014,,,,,,
Adam Silvera,Supreme Court Justice,DEP CHF ADMNV JGE CTS,2018-01-01,2031-12-31,New York County,New York County Supreme Court,2018,,,,,,
Joseph D Waldorf,Supreme Court Justice,,2024-01-01,2037-12-31,Monroe County,Monroe County Supreme Court,2024,,,,,,
Peter Weinmann,Court of Claims Judge,,2024-11-01,2031-12-31,Erie County,Erie County Supreme Court,2024,,,,,,
Phaedra F Perry,Supreme Court Justice,,2024-01-01,2036-12-31,New York County,New York County Supreme Court,2024,,,,,,
David Squirrell,Supreme Court Justice,,2023-01-01,2036-12-31,Westchester County,Orange County Supreme Court,2023,,,,,,
Kevin P Kuehner,Supreme Court Justice,,2023-01-01,2036-12-31,Onondaga County,Onondaga County Supreme Court,2023,,,,,,
Heela Capell,Supreme Court Justice,,2024-01-01,2037-12-31,Kings County,Kings County Supreme Court,2024,,,,,,
Brendan Lantry,Supreme Court Justice,,2023-01-01,2036-12-31,New York County,Richmond Cnty Supreme Ct-Civil,2023,,,,,,
Conrad D Singer,Supreme Court Justice,,2022-01-01,2032-12-31,Nassau County,Nassau County Supreme Court,2022,,,,,,
Gina Abadi,Supreme Court Justice,,2022-01-01,2035-12-31,Kings County,Kings County Supreme Court,2022,,,,,,
Deborah A Chimes,Supreme Court Justice,,2025-01-01,2033-12-31,Erie County,Erie County Supreme Court,2011,,,,,,
Alexandra D Murphy,Supreme Court Justice,,2021-01-01,2034-12-31,Westchester County,Westchester County Supreme Ct,2021,,,,,,
Joseph Esposito,,,,,Queens County,Queens County Supreme Court,2017,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Delsia G Marshall,Supreme Court Justice,,2025-01-01,2026-12-31,Queens County,Queens County Supreme Court,2025,,,,,,
Vincent M Dinolfo,Supreme Court Justice,,2021-01-01,2028-12-31,Monroe County,Monroe County Supreme Court,2021,,,,,,7/SJ/PROPLEM SOLVING
Craig D Hannah,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2023-01-01,2036-12-31,Erie County,Erie County Supreme Court,2022,,,,,,
Leon Ruchelsman,Supreme Court Justice,,2017-01-01,2025-12-31,Kings County,Kings County Supreme Court,1996,,,,,,
Lisa Lewis,Supreme Court Justice,,2025-01-01,2038-12-31,Kings County,Kings County Supreme Court,2025,,,,,,
John Andrews,Supreme Court Justice,,2024-01-01,2026-12-31,Suffolk County,Suffolk County Supreme Court,2024,,,,,,
Frank Caruso,Supreme Court Justice,,2022-01-01,2026-12-31,Niagara County,Niagara County Supreme Court,2006,,,,,,
Stephen C. Hackeling,Supreme Court Justice,,2023-01-01,2036-12-31,Suffolk County,Suffolk County Supreme Court,2023,,,,,,
Marina C Mundy,Supreme Court Justice,,2019-01-01,2032-12-31,Richmond County,Richmond Cnty Supreme Ct-Crim,2019,,,,,,
Elizabeth M Fox-Mcdonough,Supreme Court Justice,,2022-01-01,2032-12-31,Nassau County,Nassau County Supreme Court,2022,,,,,,
Rose Nadine Fontaine,Court of Claims Judge,,2024-12-30,2027-01-01,Albany County,Court of Claims,2024,,,,,,
Christi J Acker,Supreme Court Justice,,2018-01-01,2031-12-31,Dutchess County,Dutchess County Supreme Court,2018,,,,,,
Wayne M Ozzi,,SUP CT JUSTICE,,,Richmond County,Nassau County Supreme Court,2010,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Alexander R Renzi,Supreme Court Justice,,2024-01-01,2028-12-31,Monroe County,Monroe County Supreme Court,2010,,,,,,
Mark A Montour,Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,Erie County,Appellate Div 4th Dept/Chamber,2014,,,,,,
Lori Sattler,Supreme Court Justice,,2018-01-01,2031-12-31,New York County,New York County Supreme Court,2018,,,,,,
Margaret L Clancy,,,,,Bronx County,Kings County Supreme Court,2000,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Joseph R Conway,Supreme Court Justice,"SUP CT JUS, DST 10 AT",2021-01-01,2028-12-31,Nassau County,Nassau County Supreme Court,2021,,,,,,
Scott J Delconte,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Oswego County,Oswego County Supreme Court,2019,,,,,,
Cheree A Buggs,Supreme Court Justice,"SUP CT JUS, DST 11 AT",2017-01-01,2030-12-31,Queens County,Queens County Supreme Court,2017,,,,,,
Saul Stein,Supreme Court Justice,,2024-01-01,2037-12-31,Kings County,Kings County Supreme Court,2024,,,,,,
Gary M Carlton,,,2024-01-01,2024-12-31,Nassau County,Nassau County Supreme Court,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Deborah Poulos,,,2019-01-01,2024-12-31,Suffolk County,Suffolk County Supreme Court,2019,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
John J Leo,,,2013-01-01,2024-12-31,Suffolk County,Suffolk County Supreme Court,2013,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
